,name,desc,date
0,LifeSprout Bio,"Applicant sourced

Link to website: https://www.lifesproutbio.com/
	Hopkins connect: Russell Martin MS, Ph.D. Material Science JHU
https://www.linkedin.com/in/russell-martin-44ba16/
	What does this company do
LifeSprout is developing the next-generation of synthetic soft tissue substitutes for aesthetic and reconstructive medicine. Product line includes injectable dermal filler.
	Why might it be interesting for ALC
Currently at Seed Round and A-level can be one of the leading investor. Biotech company with regenerative matrix technology. Current product line limited to aesthetics (dermal filler) but use of this technology in the medical field is very probable. Few of the board members are member of BOD of big bio/pharmaceutical companies. 

Raised a $6.5 Mil seed round in June 2018",2020-02-19T15:25:04.760Z
1,Almma Health,,2022-05-21T02:14:13.671Z
2,https://www.zoog.space/,,2018-03-07T23:05:17.137Z
3,Symboint,"Symbiont is a leading technology company focused on solving complex global finance problems using a novel enterprise blockchain solution. An early pioneer of smart contracts and distributed ledger technologies, Symbiont’s Assembly™ blockchain is the first enterprise platform developed to remove operational friction from the life cycle of financial instruments, while enabling real-time data sharing with optimal security and privacy.
https://www.symbiont.io/

Charles Ocheret
https://www.linkedin.com/in/ocheret/
JHU BES BME, MS ElectricalE",2022-04-26T15:21:20.193Z
4,Cythera,,2018-02-21T05:05:59.711Z
5,Pocket RN,"PocketRN enables patients, families & caregivers to video-chat nurses with the right expertise at the right time.
https://pocketrn.com/

Jenna Morgenstern-Gaines
https://www.linkedin.com/in/jennamg/
MA. IR and Affairs, SAIS",2022-04-26T14:46:26.089Z
6,G.tec Medical Engineering,"https://www.crunchbase.com/organization/g-tec-medical-engineering
https://www.linkedin.com/in/christoph-guger/

Christoph Guger is co-founder of g.tec medical engineering in Austria, which has been developing high-performance brain-computer interfaces and neurotechnologies for invasive and non-invasive recordings since 1999. Dr. Guger oversees the global distribution and utilization of g.tec’s products in clinical environments for research purposes such as the analysis of the brain, heart or muscle activity, brain assessments of severe brain injuries and disorders of consciousness, motor rehabilitation after stroke, neuromarketing, deep brain stimulation, brain mapping, neuro prosthesis control, communication, painting and closed-loop invasive and non-invasive BCI experiments.

Austrian company, only funding was a grant in 2016, unlikely they need venture funding",2022-04-26T14:46:26.075Z
7,"Equitar Technologies, Inc","Equitar is a social impact company that empowers underserved and underrepresented populations to achieve universal health equity, by enabling industry and the public sector to recognize, resolve, and measure heath equity disparities and impact in real-time through the application of cloud scale computing and health outcomes.

Founder has incredible educational background, but website not functioning, no capital raise history on Crunchbase

Founder LinkedIn: https://www.linkedin.com/in/jgkmd/",2022-04-26T14:46:26.499Z
8,Ziplyne,https://ziplyne.com/#/,2019-09-03T13:53:05.142Z
9,WellPrevail,"Innovative Digital Solution to Provide Chronic Pain Sufferers with Life-Long Medical and Psychological Support.

https://www.prweb.com/releases/health_tech_startup_wellprevail_launches_crowdfunding_campaign_for_ground_breaking_chronic_pain_management_platform/prweb17448928.htm

No info on crunchbase; pre-seed?",2022-04-26T14:46:26.555Z
10,Huuk,"JHU Connect- Mic Nguyen https://www.linkedin.com/in/micnguyen/

Huuk is a digital social networking technology applying Web 3.0 technology  allowing users to choose which type of content they see. It allows users to generate a fair share of their own revenue from their own work. Team looks very strong
https://huuk.social/

Why might it be interested to ALC?
It would be interesting to look at social media technology and how investing in that requires different metrics to consider. ",2022-05-01T16:59:22.054Z
11,Phantom Neuro,"Neurotechnology startup that delivers a low power, high accuracy system for lifelike control of robotic orthopedic technologies https://www.linkedin.com/company/phantomneuro/ 

Connect - https://www.linkedin.com/in/connor-glass-md-010124141/

Just raised $3.26 million in seed funding led by LionBird Ventures, with participation from Draper Associates, Peter Thiel-backed venture firm Blackrock Neurotech, Breakout Ventures and Capital Factory https://www.axios.com/phantom-neuro-raises-33m-169a087b-152f-4a9e-8867-64b15fed7e69.html

",2022-04-16T22:56:41.152Z
12,Ashvattha Therapeutics,,2018-02-21T05:03:49.712Z
13,Hubly Surgical,"Hubly Surgical is a cranial and orthopedic platform drilling solution. We’re focused on modernizing three verticals: bedside intracranial access, elective neurosurgeries, and elective orthopedic surgeries. Targeting neurosurgeons, our first product utilizing this technology is an integrated electric drill system designed to streamline bedside intracranial access, decrease operating room reliance, and facilitate treatment for emerging indications.

Casey Grage
MS, Computational and Applied Mathematics",2022-04-16T22:56:41.498Z
14,Maxillo Soft,"Link to website: Maxillosoft | Oral Surgery Practice Management Software

Hopkins Connect: Dimitry Shuster, Carey Business School '2000

About company: a technology for oral surgeons and their teams which works to use machine learning and other technologies to simplify a lot of dental practices, making it possible for dentists to see more patients and save a lot of time.

Why might this be interesting to ALC: Cool technology which tackles a unique problem for which there aren't a lot of other solutions out there in the dental market",2022-04-19T03:14:20.904Z
15,Meno,"Meno is a sustainable furniture company that is disrupting the industry by reinventing how consumer needs are met.
https://www.livemeno.com/

Grace H
MBA Carey
https://www.linkedin.com/in/grace-h-8b276568/",2022-04-19T13:58:45.891Z
16,Khyros,"Khyros provides users with cutting edge Artificial Intelligence and Machine Learning capabilities to find, define, and explore patterns of human behavior in digital data. We simplify complicated analytic tasks into smooth, automated workflows that enable indviduals, teams, and enterprises to achieve thier mission at speed and scale. Check us out at https://www.khyros.ai/

Chad Ensley
Carey & SAIS",2022-04-26T15:18:38.979Z
17,Amelia Virtual Care,"They provide a virtual reality platform that can be used by therapists to perform mental health assessments and interventions. 

https://ameliavirtualcare.com/our-product-for-professionals/

https://www.linkedin.com/company/ameliavirtualcare/

Reached Out: 4/14/2022",2022-04-16T22:56:42.173Z
18,RoleCoin,"Previous investment, STEAM Role, is running an ICO for RoleCoin 

https://rolecoin.steamrole.org/

ICO opens 4/15/2018",2018-04-04T19:15:45.900Z
19,LessonCast,,2018-02-28T23:31:56.348Z
20,Linked Sciences,,2018-09-16T13:23:47.632Z
21,MedAware Systems,,2022-04-16T22:56:41.262Z
22,Medssenger,http://www.medssenger.com/,2017-09-22T01:01:09.750Z
